Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
2023,Afghanistan,-,AFG,-,34826,0,250,3222397,31605,0,1584157,33712
2023,Albania,-,ALB,-,5079,0,8,0,0,2018,0,6
2023,Egypt,-,EGY,-,240507,841,232244,0,0,10,0,0
2023,Argentina,-,ARG,-,4104,0,7129,0,0,22,60765,475
2023,Armenia,-,ARM,-,150080,0,615,0,0,520,0,0
2023,Australia,-,AUS,-,34502,197,82625,0,0,8073,0,1514
2023,Austria,-,AUT,-,257811,5736,38039,0,0,3194,0,0
2023,Azerbaijan,-,AZE,-,5771,8,168,657749,0,513,0,0
2023,Belgium,-,BEL,-,167831,5155,44600,0,0,936,0,679
2023,Benin,-,BEN,-,2825,0,10133,8785,0,0,0,0
2023,Belarus,-,BLR,-,39981,2500,405,0,0,5567,0,0
2023,Brazil,-,BRA,-,235765,0,68101,0,0,5,0,0
2023,"Bosnia and Herzegovina",-,BIH,-,348,0,81,91223,0,21,0,2545
2023,Bulgaria,-,BGR,-,97618,4677,11941,0,0,817,0,0
2023,Canada,-,CAN,-,169448,5122,197961,0,0,5222,0,0
2023,China,-,CHN,-,296,5,699,0,0,0,0,0
2023,Chile,-,CHL,-,2338,0,12694,0,0,1708,101855,1708
2023,Colombia,-,COL,-,1382,0,23842,6918373,0,0,885300,516614
2023,Cuba,-,CUB,-,136,6,25,0,0,0,0,6
2023,Cyprus,-,CYP,-,39044,1303,31664,0,0,86,0,0
2023,Czechia,-,CZE,-,377120,25634,1239,0,0,1611,0,537
2023,Denmark,-,DNK,-,68912,2462,2356,0,0,8657,0,0
2023,"Dominican Rep.",-,DOM,-,778,0,4185,0,0,0,0,0
2023,Ecuador,-,ECU,-,62899,0,7700,0,0,0,0,0
2023,Estonia,-,EST,-,42005,2840,346,0,0,65944,0,0
2023,Ethiopia,-,ETH,-,979846,111593,63747,2561497,534293,0,1115201,604
2023,Fiji,-,FJI,-,15,0,0,0,0,0,0,0
2023,Finland,-,FIN,-,89869,4350,7410,0,0,2974,0,0
2023,France,-,FRA,-,664366,4670,79642,0,0,4174,0,1716
2023,Gambia,-,GMB,-,3809,0,446,0,0,0,0,0
2023,"United Kingdom of Great Britain and Northern Ireland",-,GBR,-,448620,15384,138156,0,0,4547,0,362
2023,Georgia,-,GEO,-,26019,1663,1051,295831,0,530,0,0
2023,Germany,-,DEU,-,2593007,75175,361493,0,0,28964,0,0
2023,Ghana,-,GHA,-,7057,0,4209,0,0,0,0,0
2023,Greece,-,GRC,-,192384,1852,32687,0,0,3743,0,2722
